
🌿 KisanBazaar server running at http://localhost:8080
💳 Razorpay: ⚠️  Keys not set — add them to .env

  To configure Razorpay:
  1. Go to https://dashboard.razorpay.com → Test Mode → Settings → API Keys
  2. Edit kisanbazaar/.env and replace the placeholder values
  3. Restart the server: node server.js

[2026-03-29T18:21:09.229Z] GET /images/products/dragon_fruit_1773599756927.png
[2026-03-29T18:21:09.230Z] GET /images/products/pear_1773599784453.png
[2026-03-29T18:21:09.234Z] GET /images/products/chikoo_real.png
[2026-03-29T18:21:09.237Z] GET /images/products/grapes.png
[2026-03-29T18:21:09.240Z] GET /images/products/mangoes.png
[2026-03-29T18:21:09.240Z] GET /images/products/plum_1773600148242.png
[2026-03-29T18:21:09.241Z] GET /images/products/brown_rice_1773599824210.png
[2026-03-29T18:21:09.246Z] GET /images/products/black_rice_1773600173290.png
[2026-03-29T18:21:09.248Z] GET /images/products/jowar_1773599853798.png
[2026-03-29T18:21:09.251Z] GET /images/products/bajra_1773599928300.png
[2026-03-29T18:21:09.251Z] GET /images/products/wheat-flour.png
[2026-03-29T18:21:09.255Z] GET /images/products/chickpeas.png
[2026-03-29T18:21:09.257Z] GET /images/products/toor-dal.png
[2026-03-29T18:21:09.258Z] GET /images/products/red-lentils.png
[2026-03-29T18:21:09.262Z] GET /images/products/product_a2_milk_glass_bottle_1773582219298.png
[2026-03-29T18:21:09.263Z] GET /images/products/paneer.png
[2026-03-29T18:21:09.264Z] GET /images/products/milk.png
[2026-03-29T18:21:09.265Z] GET /images/products/groundnut-oil.png
[2026-03-29T18:21:09.269Z] GET /images/products/cashew.png
[2026-03-29T18:21:09.271Z] GET /images/products/walnut.png
[2026-03-29T18:21:09.274Z] GET /images/products/turmeric.png
[2026-03-29T18:21:15.994Z] GET /index.html
[2026-03-29T18:21:16.030Z] GET /css/style.css
[2026-03-29T18:21:16.037Z] GET /images/produce_basket.png
[2026-03-29T18:21:16.037Z] GET /images/favicon-32x32.png
[2026-03-29T18:21:16.038Z] GET /js/cart.js
[2026-03-29T18:21:16.038Z] GET /js/main.js
[2026-03-29T18:21:16.038Z] GET /js/app.js
[2026-03-29T18:21:16.080Z] GET /images/hills_bg.jpg
[2026-03-29T18:21:16.082Z] GET /images/popular_banner_v2.png
[2026-03-29T18:21:16.141Z] GET /images/categories/vegetables_3d.png
[2026-03-29T18:21:16.142Z] GET /images/products/mangoes.png
[2026-03-29T18:21:16.142Z] GET /images/products/wheat-flour.png
[2026-03-29T18:21:16.143Z] GET /images/products/milk.png
[2026-03-29T18:21:16.143Z] GET /images/products/ginger.png
[2026-03-29T18:21:16.144Z] GET /images/products/turmeric.png
[2026-03-29T18:21:16.160Z] GET /images/products/chickpeas.png
[2026-03-29T18:21:16.166Z] GET /images/products/tomatoes.png
[2026-03-29T18:21:16.167Z] GET /images/products/carrot.png
